Date;Asset;Open;High;Low;Close; Volume ;Decision;OpenInterest
16/01/2018;ICFFUT;253,52;254,68;252,03;253,93; R$10.025.996,08 ;Sell;4978
15/01/2018;ICFFUT;254,26;256,66;253,52;256; R$3.431.028,72 ;Sell;4995
12/01/2018;ICFFUT;255,58;256,25;252,2;256,25; R$6.735.355,76 ;Sell;4950
11/01/2018;ICFFUT;257,65;257,65;254,35;255,58; R$10.000.030,20 ;Sell;4948
10/01/2018;ICFFUT;258,81;261,86;256,16;257,65; R$11.269.615,22 ;Sell;4938
09/01/2018;ICFFUT;258,89;259,63;255,17;258,72; R$10.827.368,50 ;Sell;4948
08/01/2018;ICFFUT;264,26;264,5;258,06;258,64; R$15.792.449,49 ;Sell;4903
05/01/2018;ICFFUT;266,9;268,38;265,74;266,98; R$4.750.991,64 ;Sell;4913
04/01/2018;ICFFUT;267,39;268,55;262,6;268,38; R$13.651.165,24 ;Sell;4891
03/01/2018;ICFFUT;270,78;272,51;264,26;267,39; R$17.758.617,72 ;Sell;4934
02/01/2018;ICFFUT;260,7;271,36;260,13;270,78; R$39.378.778,46 ;Sell;4996
28/12/2017;ICFFUT;258,97;260,79;257,15;260,79; R$9.591.497,01 ;Buy;5055
27/12/2017;ICFFUT;254,35;259,3;253,52;258,97; R$15.521.659,45 ;Buy;5115
26/12/2017;ICFFUT;250,96;254,35;250,71;254,35; R$3.826.798,45 ;Buy;5147
22/12/2017;ICFFUT;255,5;255,67;250,22;250,71; R$9.759.797,21 ;Buy;5062
21/12/2017;ICFFUT;257,65;257,81;253,52;254,35; R$13.367.067,38 ;Buy;5074
20/12/2017;ICFFUT;254,35;258,31;254,35;257,73; R$9.701.306,04 ;Buy;5118
19/12/2017;ICFFUT;255,34;257,24;252,69;253,77; R$13.560.747,85 ;Buy;5077
18/12/2017;ICFFUT;252,53;257,32;252,53;255,09; R$17.111.723,02 ;Buy;5134
15/12/2017;ICFFUT;252,53;254,02;250,38;250,96; R$15.754.721,73 ;Buy;5189
14/12/2017;ICFFUT;250,71;253,19;249,39;250,3; R$14.800.443,90 ;Buy;5214
13/12/2017;ICFFUT;249,47;251,95;248,81;250,96; R$7.218.154,16 ;Buy;5181
12/12/2017;ICFFUT;252,69;254,35;247,99;249,64; R$11.041.303,59 ;Buy;5098
11/12/2017;ICFFUT;256,99;258,81;251,37;252,61; R$16.430.348,63 ;Sell;5052
08/12/2017;ICFFUT;258,31;260,21;256,82;258,06; R$10.718.648,58 ;Sell;4972
07/12/2017;ICFFUT;263,18;263,18;255,75;258,31; R$19.991.145,03 ;Sell;4943
06/12/2017;ICFFUT;265,74;265,74;262,6;262,6; R$9.232.008,32 ;Sell;4790
05/12/2017;ICFFUT;268,38;268,88;264,59;265,49; R$21.692.861,42 ;Sell;4803
04/12/2017;ICFFUT;269,29;270,2;267,72;268,63; R$9.821.126,62 ;Sell;4795
01/12/2017;ICFFUT;269,79;271,69;267,81;270,04; R$4.585.042,56 ;Sell;4783
30/11/2017;ICFFUT;273,92;275,82;268,38;268,38; R$20.317.950,12 ;Sell;4739
29/11/2017;ICFFUT;270,45;275,82;269,95;274,16; R$29.895.238,84 ;Sell;4805
28/11/2017;ICFFUT;266,15;270,53;263,68;270,45; R$16.574.578,19 ;Neutral;4771
27/11/2017;ICFFUT;265,08;267,31;265,08;265,58; R$3.742.148,30 ;Neutral;4691
24/11/2017;ICFFUT;258,89;267,56;258,89;265,08; R$18.771.767,06 ;Neutral;4691
23/11/2017;ICFFUT;260,54;260,54;258,97;259,05; R$1.675.245,28 ;Neutral;4695
22/11/2017;ICFFUT;261,78;261,78;259,55;260,7; R$9.231.792,51 ;Neutral;4625
21/11/2017;ICFFUT;260,29;263,43;258,14;261,94; R$18.391.211,10 ;Neutral;4546
17/11/2017;ICFFUT;265,91;265,91;259,96;260,13; R$22.157.321,80 ;Neutral;4368
16/11/2017;ICFFUT;266,73;267,15;264,75;265,66; R$5.435.273,90 ;Neutral;4341
14/11/2017;ICFFUT;265,2;268,01;263,41;266,73; R$7.627.677,72 ;Neutral;0
13/11/2017;ICFFUT;265,03;267,24;264,18;264,26; R$7.661.969,75 ;Neutral;2638
10/11/2017;ICFFUT;264,52;268,1;264,18;265,62; R$10.388.091,83 ;Neutral;2635
09/11/2017;ICFFUT;263,66;266,9;263,49;265,54; R$15.679.516,15 ;Neutral;2715
08/11/2017;ICFFUT;263,49;265,03;261,79;263,66; R$5.574.647,40 ;Neutral;2837
07/11/2017;ICFFUT;265,03;265,2;262,56;264,18; R$4.403.048,79 ;Neutral;2923
06/11/2017;ICFFUT;262,9;267,07;260;264,52; R$13.461.682,83 ;Neutral;2996
03/11/2017;ICFFUT;259,06;266,56;258,89;261,11; R$16.687.545,28 ;Neutral;3045
01/11/2017;ICFFUT;263,32;265,37;257,87;258,38; R$20.373.302,26 ;Neutral;2965
